epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,4793.31,0.84366,0.33762,1.12828,0.9964,0.99486,0.99445,0.74575,1.04986,0.3324,1.38571,0.0023275,0.0023275,0.0023275
157,4820.68,0.85181,0.33492,1.13852,0.9964,0.99517,0.99446,0.74524,1.04987,0.32913,1.38656,0.002278,0.002278,0.002278
158,4848.5,0.84567,0.33524,1.12841,0.99611,0.9946,0.99448,0.74437,1.05218,0.32882,1.39008,0.0022285,0.0022285,0.0022285
159,4876.18,0.84622,0.33457,1.1318,0.9956,0.994,0.99427,0.74282,1.05397,0.33129,1.39121,0.002179,0.002179,0.002179
160,4903.79,0.84498,0.33418,1.12993,0.99639,0.99256,0.9943,0.74225,1.05576,0.33152,1.39078,0.0021295,0.0021295,0.0021295
161,4931.04,0.84307,0.33333,1.12533,0.99639,0.99271,0.99432,0.74571,1.0532,0.33253,1.3911,0.00208,0.00208,0.00208
162,4958.58,0.84448,0.33237,1.13018,0.99579,0.99336,0.99425,0.744,1.05645,0.33301,1.39524,0.0020305,0.0020305,0.0020305
163,4986.51,0.84197,0.33287,1.12084,0.99399,0.99226,0.99411,0.74295,1.05655,0.33379,1.39676,0.001981,0.001981,0.001981
164,5014.61,0.83168,0.32891,1.11989,0.99579,0.9924,0.99445,0.74303,1.05788,0.3332,1.39671,0.0019315,0.0019315,0.0019315
165,5042.2,0.84123,0.33253,1.12963,0.99707,0.9922,0.99447,0.74511,1.0546,0.33296,1.3926,0.001882,0.001882,0.001882
166,5069.7,0.83484,0.33075,1.12499,0.9952,0.99474,0.99443,0.74332,1.05301,0.33118,1.39363,0.0018325,0.0018325,0.0018325
167,5097.41,0.83269,0.33025,1.12717,0.99461,0.99576,0.99441,0.74453,1.05427,0.33157,1.39364,0.001783,0.001783,0.001783
168,5125.3,0.83027,0.32911,1.12142,0.99342,0.99596,0.99451,0.74304,1.05547,0.3312,1.39539,0.0017335,0.0017335,0.0017335
169,5152.93,0.82683,0.32922,1.11641,0.99352,0.9964,0.99449,0.74321,1.05579,0.33145,1.39744,0.001684,0.001684,0.001684
170,5180.67,0.82731,0.32787,1.11824,0.99639,0.99397,0.99441,0.74205,1.05734,0.33152,1.3983,0.0016345,0.0016345,0.0016345
171,5208.35,0.82889,0.32684,1.11996,0.99441,0.9964,0.99447,0.74134,1.05548,0.33063,1.39694,0.001585,0.001585,0.001585
172,5236.32,0.81973,0.32584,1.11522,0.99606,0.994,0.9944,0.74174,1.05865,0.33166,1.39918,0.0015355,0.0015355,0.0015355
173,5264.22,0.82741,0.32741,1.12395,0.99639,0.99332,0.99439,0.73962,1.06012,0.33237,1.40219,0.001486,0.001486,0.001486
174,5292.01,0.8144,0.32192,1.11459,0.99467,0.9928,0.99393,0.74011,1.05935,0.33238,1.4069,0.0014365,0.0014365,0.0014365
175,5319.76,0.82571,0.3272,1.11779,0.99578,0.9928,0.99405,0.74253,1.06012,0.33063,1.40531,0.001387,0.001387,0.001387
